,MEASURE_PAYLOAD_SIZE_BYTE,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
295,20,1800,0,1.0,0.0,0.0,72500.33287639264,157.60941929650573,21.316449883837286,902.2443359991375
296,20,1800,0,0.9565217391304348,0.0,0.0,45643.96541297864,99.22601176734487,21.31644988384057,902.2443359991375
297,20,1800,0,0.9545454545454546,0.0,0.0,45124.00126080139,102.55454832000316,21.356318748011724,902.5377079991176
298,20,1800,0,1.0,0.0,0.0,46005.60425277302,109.5371529827929,21.39998464686944,902.5377079991176
299,20,1800,0,0.9545454545454546,0.0,0.0,74834.31394429809,170.0779862370411,21.356318748011724,902.5377079991176
300,20,1800,0,0.9565217391304348,0.0,0.0,69530.04241927566,151.15226612886013,21.31644988384057,902.5377079991176
301,20,1800,0,0.9545454545454546,0.0,0.0,69325.74264343032,157.55850600779618,21.356318748012153,902.5377079991176
302,20,1800,0,0.9545454545454546,0.0,0.0,67907.07285705069,154.33425649329703,21.356318748011724,902.5377079991176
303,20,1800,0,0.9545454545454546,0.0,0.0,65408.169168974324,148.6549299294871,21.356318748011724,902.5377079991176
304,20,1800,0,0.9130434782608695,0.0,0.0,56994.604806069,123.90131479580218,21.316449883837286,902.5377079991176
305,20,1800,0,0.9545454545454546,0.0,0.0,48249.522734214355,109.65800621412353,21.356318748011724,902.5377079991176
306,20,1800,0,0.9565217391304348,0.0,0.0,52966.96161026472,115.14556871796678,21.31644988384057,902.5377080012368
307,20,1800,0,0.9523809523809523,0.015873015873015872,0.0,44862.47195563794,106.81540941818558,21.39998464686944,902.5377080012368
308,20,1800,0,1.0,0.0,0.0,82433.44882620894,196.27011625287844,21.39998464686944,902.5377080012368
309,20,1800,1,0.9523809523809523,0.015873015873015872,0.9545454545454546,58768.0899236064,69.96201181381714,10.859406083433855,827.1418040001236
310,20,1800,1,1.0,0.0,0.9545454545454546,84645.42335200445,100.76836113333863,10.859406083433855,827.1418040001236
311,20,1800,1,1.0,0.0,0.9130434782608696,80433.76158881742,93.52762975443886,11.082195125028408,827.1418040001236
312,20,1800,1,0.9545454545454546,0.0,0.9166666666666666,89203.19890363998,101.36727148140906,11.296065072005197,826.8433799998475
313,20,1800,1,0.9545454545454546,0.0,0.875,88637.87831489861,103.06730036616118,11.551349666237936,826.8433799998475
314,20,1800,2,0.9130434782608695,0.0,0.88,60500.40642784523,27.75248001277304,4.9550729537653995,925.7258000001602
315,20,1800,2,0.9565217391304348,0.0,0.875,52458.90996489013,40.353007665300105,7.765923069049074,925.7258000001602
316,20,1800,2,0.9545454545454546,0.0,0.5116279069767442,92981.43011239407,43.44926640766078,8.425993376975104,925.7258000001602
317,20,1800,2,0.9565217391304348,0.0,0.875,74489.27058786136,57.29943891373951,7.7659230690493635,376.13376000008975
318,20,1800,2,1.0,0.0,0.9772727272727273,73033.78178108751,24.34459392702917,6.2442236947237735,376.13376000008975
319,20,1800,5,1.0,0.0,0.9565217391304348,92821.75953419281,16.815536147498698,3.7007396589572696,864.6084042935972
320,22,1800,0,1.0,0.0,0.0,75413.32058909605,163.23229564739404,19.454531497154036,841.4927800000996
321,22,1800,0,1.0,0.0,0.0,74000.0018355021,160.17316414610843,19.454531497154036,841.4927800000996
322,22,1800,0,1.0,0.0,0.0,78524.88262338686,162.24149302352657,19.414835225465204,841.4927800000996
323,22,1800,0,1.0,0.0,0.0,87377.55238566363,172.68290985309017,19.378590803488443,901.9907320001157
324,22,1800,0,1.0,0.0,0.0,84503.10100282934,174.59318389014325,19.414835225465204,901.9907320001157
325,22,1800,0,1.0,0.0,0.0,61503.82404869684,121.54905938477637,19.378590803488443,901.9907320001157
326,22,1800,0,1.0,0.0,0.0,75758.66587658312,149.72068355055953,19.378590803488443,901.9889559990825
327,22,1800,0,0.9565217391304348,0.0,0.0,53183.952199413114,105.10662490002592,19.378590803491427,901.9889559990825
328,22,1800,0,0.9565217391304348,0.0,0.0,44955.35948803941,88.84458396845733,19.378590803491427,901.9889559990825
329,22,1800,0,0.9545454545454546,0.0,0.0,44670.75945269959,92.29495754689998,19.414835225465204,901.9889559990825
330,22,1800,0,1.0,0.0,0.0,81067.20584000138,175.4701425108255,19.454531497154036,901.9889559990825
331,22,1800,0,0.9545454545454546,0.0,0.0,83842.97996161543,173.2292974413542,19.414835225465204,901.9889559990825
332,22,1800,0,0.9545454545454546,0.0,0.0,68556.12750051703,141.64489152999386,19.414835225465204,901.9889559990825
333,22,1800,0,0.9565217391304348,0.0,0.0,66654.46313913085,131.72818802199774,19.378590803491427,901.9889559990825
334,22,1800,0,0.9545454545454546,0.0,0.0,66567.83183643098,137.5368426372541,19.414835225465595,901.9889559990825
335,22,1800,0,0.9545454545454546,0.0,0.0,65223.748977872936,134.759811937754,19.414835225465204,901.9889559990825
336,22,1800,0,0.9545454545454546,0.0,0.0,64216.58384623454,132.67889224428623,19.414835225465204,901.9889559990825
337,22,1800,0,0.9130434782608695,0.0,0.0,56993.26344848917,112.63490800096673,19.378590803488443,901.9889559990825
338,22,1800,0,0.9545454545454546,0.0,0.0,48023.04383317119,99.22116494456859,19.414835225465204,901.9889560012089
339,22,1800,0,1.0,0.0,0.0,43502.58368030557,94.16143653745794,19.454531497154036,901.9889560012089
340,22,1800,0,1.0,0.0,0.0,79224.04548309286,171.48061792877243,19.454531497154036,901.9889560012089
341,22,1800,1,1.0,0.0,0.9545454545454546,58348.465168073555,63.147689575837184,9.92049454857951,835.4907880001165
342,22,1800,1,1.0,0.0,0.9130434782608696,48918.92642051867,52.94256106116739,10.354853194294094,835.4907880001165
343,22,1800,1,1.0,0.0,0.9130434782608696,82095.99737332843,86.78223823819073,10.121906617682306,835.4907880001165
