,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,children,pdr,plr,aggregation_efficiency,energy,latency
145,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,117764.50146976569,117764.50146976569
146,1800,540,0,1.0,0.0,0.0,93787.45292076984,93787.45292076984
147,1800,540,0,1.0,0.0,0.0,85638.51626682031,85638.51626682031
148,1800,540,0,1.0,0.0,0.0,125899.8850330206,125899.8850330206
149,1800,540,1,1.0,0.0,0.9565217391304348,96127.61179784435,96127.61179784435
150,1800,540,1,1.0,0.0,0.9583333333333334,89975.52276871091,89975.52276871091
151,1800,540,1,1.0,0.0,0.5714285714285714,130434.33113135467,130434.33113135467
152,1800,540,1,0.9565217391304348,0.043478260869565216,0.92,136163.43082006535,136163.43082006535
153,1800,540,1,1.0,0.0,0.8846153846153846,104802.85805960049,104802.85805960049
154,1800,540,2,1.0,0.0,0.9130434782608696,132695.8801264362,132695.8801264362
155,1800,540,2,1.0,0.0,0.85,95728.62810587429,95728.62810587429
156,1800,540,2,1.0,0.0,0.9523809523809523,127441.80059770434,127441.80059770434
157,1800,540,2,1.0,0.0,0.9166666666666666,93679.3435821268,93679.3435821268
158,1800,540,2,1.0,0.0,0.9523809523809523,106668.6287919925,106668.6287919925
159,1800,540,3,0.9565217391304348,0.043478260869565216,0.9411764705882353,115911.8737747687,115911.8737747687
160,1800,630,0,1.0,0.0,0.0,119074.62641990307,119074.62641990307
161,1800,630,0,1.0,0.0,0.0,118430.68122516928,118430.68122516928
162,1800,630,0,1.0,0.0,0.0,122347.58634008082,122347.58634008082
163,1800,630,0,0.9565217391304348,0.043478260869565216,0.0,129541.94858165113,129541.94858165113
164,1800,630,0,1.0,0.0,0.0,122900.4761408179,122900.4761408179
165,1800,630,0,1.0,0.0,0.0,111373.2216726348,111373.2216726348
166,1800,630,0,0.9565217391304348,0.043478260869565216,0.0,112436.88622908517,112436.88622908517
167,1800,630,0,1.0,0.0,0.0,93932.09899598353,93932.09899598353
168,1800,630,0,1.0,0.0,0.0,90714.95466465363,90714.95466465363
169,1800,630,0,1.0,0.0,0.0,90757.89450776606,90757.89450776606
170,1800,630,0,1.0,0.0,0.0,126692.4596257242,126692.4596257242
171,1800,630,0,1.0,0.0,0.0,126338.91614459245,126338.91614459245
172,1800,630,0,1.0,0.0,0.0,121905.48468628716,121905.48468628716
173,1800,630,0,1.0,0.0,0.0,112056.30009958912,112056.30009958912
174,1800,630,0,1.0,0.0,0.0,112146.59247328999,112146.59247328999
175,1800,630,0,0.9565217391304348,0.043478260869565216,0.0,112532.34188272347,112532.34188272347
176,1800,630,0,0.9130434782608695,0.08695652173913043,0.0,120372.60492270062,120372.60492270062
177,1800,630,0,0.8695652173913043,0.13043478260869565,0.0,94881.99227230043,94881.99227230043
178,1800,630,0,1.0,0.0,0.0,86824.31168338488,86824.31168338488
179,1800,630,0,1.0,0.0,0.0,126253.46692532093,126253.46692532093
180,1800,630,1,1.0,0.0,0.9565217391304348,96808.21111621436,96808.21111621436
181,1800,630,1,1.0,0.0,0.9565217391304348,90484.48794987547,90484.48794987547
182,1800,630,1,1.0,0.0,0.8214285714285714,131238.7334333502,131238.7334333502
183,1800,630,1,1.0,0.0,0.88,127561.6536275576,127561.6536275576
184,1800,630,1,1.0,0.0,0.9166666666666666,119430.18479929717,119430.18479929717
185,1800,630,1,0.8695652173913043,0.13043478260869565,0.8214285714285714,105516.85429525627,105516.85429525627
